Text|Chapter
TAO can be talked about, but not the Eternal Tao.|1
Names can be named, but not the Eternal Name.|1
As the origin of heaven-and-earth, it is nameless:|1
As "the Mother" of all things, it is nameable.|1
So, as ever hidden, we should look at its inner essence:|1
As always manifest, we should look at its outer aspects.|1
These two flow from the same source, though differently named;|1
And both are called mysteries.|1
The Mystery of mysteries is the Door of all essence.|1
WHEN all the world recognises beauty as beauty, this in itself is ugliness.|2
When all the world recognises good as good, this in itself is evil.|2
Indeed, the hidden and the manifest give birth to each other.|2
Difficult and easy complement each other.|2
Long and short exhibit each other.|2
High and low set measure to each other.|2
Voice and sound harmonize each other.|2
Back and front follow each other.|2
Therefore, the Sage manages his affairs without ado,|2
And spreads his teaching without talking.|2
He denies nothing to the teeming things.|2
He rears them, but lays no claim to them.|2
He does his work, but sets no store by it.|2
He accomplishes his task, but does not dwell upon it.|2
And yet it is just because he does not dwell on it|2
That nobody can ever take it away from him.|2
BY not exalting the talented you will cause the people to cease from rivalry and contention.|3
By not prizing goods hard to get, you will cause the people to cease from robbing and stealing.|3
By not displaying what is desirable, you will cause the people's hearts to remain undisturbed.|3
Therefore, the Sage's way of governing begins by|3
Emptying the heart of desires,|3
Filling the belly with food,|3
Weakening the ambitions,|3
Toughening the bones.|3
In this way he will cause the people to remain without knowledge and without desire, and prevent the knowing ones from any ado.|3
Practice Non-Ado, and everything will be in order.|3
THE Tao is like an empty bowl,|4
Which in being used can never be filled up.|4
Fathomless, it seems to be the origin of all things.|4
It blunts all sharp edges,|4
It unties all tangles,|4
It harmonizes all lights,|4
It unites the world into one whole.|4
Hidden in the deeps,|4
Yet it seems to exist for ever.|4
I do not know whose child it is;|4
It seems to be the common ancestor of all, the father of things.|4
HEAVEN-and-Earth is not sentimental;|5
It treats all things as straw-dogs.|5
The Sage is not sentimental;|5
He treats all his people as straw-dogs.|5
Between Heaven and Earth,|5
There seems to be a Bellows:|5
It is empty, and yet it is inexhaustible;|5
The more it works, the more comes out of it.|5
No amount of words can fathom it:|5
Better look for it within you.|5
THE Spirit of the Fountain dies not.|6
It is called the Mysterious Feminine.|6
The Doorway of the Mysterious Feminine|6
Is called the Root of Heaven-and-Earth.|6
Lingering like gossamer, it has only a hint of existence;|6
And yet when you draw upon it, it is inexhaustible.|6
HEAVEN lasts long, and Earth abides.|7
What is the secret of their durability?|7
Is it not because they do not live for themselves|7
That they can live so long?|7
Therefore, the Sage wants to remain behind,|7
But finds himself at the head of others;|7
Reckons himself out,|7
But finds himself safe and secure.|7
Is it not because he is selfless|7
That his Self is realised?|7
THE highest form of goodness is like water.|8
Water knows how to benefit all things without striving with them.|8
It stays in places loathed by all men.|8
Therefore, it comes near the Tao.|8
In choosing your dwelling, know how to keep to the ground.|8
In cultivating your mind, know how to dive in the hidden deeps.|8
In dealing with others, know how to be gentle and kind.|8
In speaking, know how to keep your words.|8
In governing, know how to maintain order.|8
In transacting business, know how to be efficient.|8
In making a move, know how to choose the right moment.|8
If you do not strive with others,|8
You will be free from blame.|8
As for holding to fullness,|9
Far better were it to stop in time!|9
Keep on beating and sharpening a sword,|9
And the edge cannot be preserved for long.|9
Fill your house with gold and jade,|9
And it can no longer be guarded.|9
Set store by your riches and honour,|9
And you will only reap a crop of calamities.|9
Here is the Way of Heaven:|9
When you have done your work, retire!|9
IN keeping the spirit and the vital soul together,|10
Are you able to maintain their perfect harmony?|10
In gathering your vital energy to attain suppleness,|10
Have you reached the state of a new-bom babe?|10
In washing and clearing your inner vision,|10
Have you purified it of all dross?|10
In loving your people and governing your state,|10
Are you able to dispense with cleverness?|10
In the opening and shutting of heaven's gate,|10
Are you able to play the feminine part?|10
Enlightened and seeing far into all directions,|10
Can you at the same time remain detached and non-active?|10
Rear your people!|10
Feed your people!|10
Rear them without claiming them for your own!|10
