Text|Chapter
The Tao the can be told of|1
Is not the Absolute Tao;|1
The Names that can be given|1
Are not Absolute Names.|1
The Nameless is the origin of Heaven and Earth;|1
The Named is the Mother of All Things.|1
Therefore:|1
Oftentimes, one strips oneself of passion|1
In order to see the Secret of Life;|1
Oftentimes, one regards life with passion,|1
In order to see its manifest forms.|1
These two (the Secret and its manifestations)|1
Are (in their nature) the same;|1
They are given different names|1
When they become manifest.|1
They may both be called the Cosmic Mystery:|1
Reaching from the Mystery into the Deeper Mystery|1
Is the Gate to the Secret of All Life.|1
When the people of the Earth all know beauty as beauty,|2
There arises (the recognition of) ugliness.|2
When the people of the Earth all know the good as good,|2
There arises (the recognition of) evil.|2
Therefore:|2
Being and non-being interdepend in growth;|2
Difficult and easy interdepend in completion;|2
Long and short interdepend in contrast;|2
High and low interdepend in position;|2
Tones and voice interdepend in harmony;|2
Front and behind interdepend in company.|2
Therefore the Sage:|2
Manages affairs without action;|2
Preaches the doctrine without words;|2
All things take their rise, but he does not turn away from them;|2
He gives them life, but does not take possession of them;|2
He acts, but does not appropriate;|2
Accomplishes, but claims no credit.|2
It is because he lays claim to no credit|2
That the credit cannot be taken away from him.|2
Exalt not the wise,|3
So that the people shall not scheme and contend;|3
Prize not rare objects,|3
So that the people shall not steal;|3
Shut out from site the things of desire,|3
So that the people's hearts shall not be disturbed.|3
Therefore in the government of the Sage:|3
He keeps empty their hearts|3
Makes full their bellies,|3
Discourages their ambitions,|3
Strengthens their frames;|3
So that the people may be innocent of knowledge and desires.|3
And the cunning ones shall not presume to interfere.|3
By action without deeds|3
May all live in peace.|3
Tao is a hollow vessel,|4
And its use is inexhaustible!|4
Fathomless!|4
Like the fountain head of all things,|4
Its sharp edges rounded off,|4
Its tangles untied,|4
Its light tempered,|4
Its turmoil submerged,|4
Yet dark like deep water it seems to remain.|4
I do not know whose Son it it,|4
An image of what existed before God.|4
Nature is unkind:|5
It treats the creation like sacrificial straw-dogs.|5
The Sage is unkind:|5
He treats the people like sacrificial straw-dogs.|5
How the universe is like a bellows!|5
Empty, yet it gives a supply that never fails;|5
The more it is worked, the more it brings forth.|5
By many words is wit exhausted.|5
Rather, therefore, hold to the core.|5
The Spirit of the Valley never dies.|6
It is called the Mystic Female.|6
The Door of the Mystic Female|6
Is the root of Heaven and Earth.|6
Continuously, continuously,|6
It seems to remain.|6
Draw upon it|6
And it serves you with ease.|6
The universe is everlasting.|7
The reason the universe is everlasting|7
Is that it does not life for Self.|7
Therefore it can long endure.|7
Therefore the Sage puts himself last,|7
And finds himself in the foremost place;|7
Regards his body as accidental,|7
And his body is thereby preserved.|7
Is it not because he does not live for Self|7
That his Self is realized?|7
The best of men is like water;|8
Water benefits all things|8
