Chapter,Optimistic,Thankful,Empathetic,Pessimistic,Anxious,Sad,Annoyed,Denial,Official report,Surprise,Joking
1,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,4.0
2,3.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,1.0,8.0
3,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
4,0.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,4.0,3.0
5,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0
6,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0
7,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0
8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
9,4.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0
10,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,4.0
11,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0
12,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,3.0,4.0
13,4.0,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0
14,4.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.0,6.0,2.0
15,4.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,5.0
16,15.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0
17,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0
18,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
19,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
20,8.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,3.0
21,2.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,4.0,1.0
22,13.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,3.0
23,6.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0
24,1.0,0.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,3.0
25,13.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,6.0,6.0
26,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0
27,9.0,0.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,8.0
28,14.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29,2.0,0.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,1.0,3.0
30,9.0,0.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,2.0,1.0
31,4.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,5.0
32,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,4.0
33,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
34,6.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0
35,5.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0
36,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0
37,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
38,11.0,0.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,3.0,5.0
39,17.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
40,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0
41,9.0,0.0,0.0,3.0,2.0,1.0,3.0,0.0,0.0,4.0,7.0
42,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0
43,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
44,3.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,4.0
45,6.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0
46,3.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,4.0
47,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
48,6.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0
49,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
50,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,5.0
51,12.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
52,11.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0
53,6.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0
54,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
55,9.0,1.0,0.0,2.0,2.0,2.0,3.0,0.0,0.0,2.0,5.0
56,6.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,3.0
57,6.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0
58,4.0,0.0,0.0,2.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0
59,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
60,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
61,7.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,5.0,5.0
62,10.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,3.0,3.0
